time_stamp	px_state	py_state	v_state	yaw_state	yaw_rate_state	sensor type	NIS
1477010449950000	16.0944	19.6126	4.76954	2.61199	0.581515	1	10.0966
1477010450000000	15.8886	19.7562	4.79383	2.63257	0.570678	0	0.770207
1477010450050000	15.7004	19.8826	4.76579	2.62908	0.486512	1	3.18242
1477010450100000	15.47	20.0369	4.83004	2.64508	0.47427	0	1.31338
1477010450150000	15.2576	20.1792	4.85464	2.65513	0.450164	1	5.5694
1477010450200000	15.07	20.3122	4.83897	2.66462	0.435447	0	1.76727
1477010450250000	14.8391	20.3929	4.83774	2.70788	0.479634	1	2.28446
1477010450300000	14.6237	20.5127	4.84881	2.72384	0.469975	0	0.590765
1477010450350000	14.3868	20.5986	4.8666	2.76569	0.517093	1	1.31553
1477010450400000	14.14	20.6719	4.8822	2.79948	0.525938	0	0.746778
1477010450450000	13.9034	20.7429	4.88992	2.83796	0.557991	1	0.290795
1477010450500000	13.6285	20.8051	4.93988	2.87468	0.566726	0	1.73518
1477010450550000	13.3818	20.8348	4.94321	2.93437	0.642944	1	1.92573
1477010450600000	13.1347	20.8731	4.94414	2.9703	0.647368	0	0.140845
1477010450650000	12.9044	20.9332	4.93212	2.98688	0.616338	1	1.91688
1477010450700000	12.7038	20.9749	4.8745	3.01091	0.610983	0	1.94085
1477010450750000	12.4523	21.0166	4.89515	3.03621	0.602325	1	2.58003
1477010450800000	12.2045	21.0529	4.90829	3.06099	0.59526	0	0.180676
1477010450850000	11.9673	21.0729	4.90192	3.09126	0.601337	1	0.897127
1477010450900000	11.7244	21.0412	4.88209	3.13756	0.621869	0	1.77329
1477010450950000	11.4789	21.0281	4.87806	3.17089	0.620331	1	1.04929
1477010451000000	11.2623	21.0205	4.83933	3.20031	0.620201	0	0.681181
1477010451050000	11.0098	20.9819	4.84834	3.23846	0.625271	1	4.07091
1477010451100000	10.7993	20.9425	4.80031	3.27546	0.634634	0	0.509267
1477010451150000	10.5487	20.9458	4.79468	3.26782	0.539573	1	5.76742
1477010451200000	10.265	20.9781	4.87548	3.26446	0.497796	0	3.45487
1477010451250000	10.025	20.9598	4.87487	3.2827	0.488532	1	0.993915
1477010451300000	9.83237	20.9214	4.80285	3.31072	0.495667	0	1.69183
1477010451350000	9.59367	20.9162	4.78293	3.29949	0.412119	1	1.79298
1477010451400000	9.40249	20.8656	4.71584	3.32815	0.424169	0	1.10013
1477010451450000	9.18065	20.8225	4.70922	3.35403	0.440502	1	1.55059
1477010451500000	8.88685	20.7949	4.80595	3.35961	0.417596	0	2.08503
1477010451550000	8.67255	20.713	4.78558	3.40073	0.455805	1	4.63924
1477010451600000	8.39674	20.6306	4.85462	3.42648	0.457696	0	2.77495
1477010451650000	8.16777	20.5491	4.85984	3.4602	0.482758	1	0.185206
1477010451700000	7.92607	20.4697	4.87798	3.4831	0.48072	0	0.110913
1477010451750000	7.71095	20.3815	4.87873	3.52335	0.526337	1	3.55863
1477010451800000	7.40054	20.3254	4.99841	3.52078	0.486479	0	3.30047
1477010451850000	7.16747	20.2291	4.99819	3.5428	0.47868	1	0.213958
1477010451900000	6.90285	20.1469	5.04668	3.55312	0.460117	0	0.578147
1477010451950000	6.67575	20.0559	5.03336	3.56781	0.442592	1	0.447239
1477010452000000	6.42841	19.9649	5.05741	3.58008	0.42955	0	0.241481
1477010452050000	6.2105	19.8711	5.04087	3.59856	0.429227	1	2.83491
1477010452100000	5.94766	19.7783	5.08883	3.6042	0.408152	0	0.647937
1477010452150000	5.72042	19.6301	5.12529	3.65162	0.469897	1	1.99013
1477010452200000	5.54725	19.5048	5.05484	3.68479	0.483817	0	1.45759
1477010452250000	5.34744	19.3548	5.04485	3.72086	0.503121	1	1.74886
1477010452300000	5.13446	19.2526	5.03297	3.73063	0.483934	0	1.92396
1477010452350000	4.94113	19.1423	4.97422	3.73456	0.436141	1	4.72147
1477010452400000	4.78188	18.9893	4.91829	3.77273	0.459084	0	0.760844
1477010452450000	4.57452	18.8385	4.94952	3.80089	0.478237	1	1.4444
1477010452500000	4.39799	18.706	4.9148	3.82185	0.475528	0	1.12177
1477010452550000	4.21464	18.5651	4.87342	3.83079	0.436363	1	1.38361
1477010452600000	4.09365	18.4079	4.78881	3.87285	0.465958	0	1.99487
1477010452650000	3.91596	18.2324	4.85697	3.92339	0.54371	1	6.97979
1477010452700000	3.65357	18.0935	4.94998	3.90729	0.482536	0	2.83036
1477010452750000	3.48906	17.9444	4.88563	3.9136	0.435831	1	3.45232
1477010452800000	3.25867	17.7791	4.95117	3.91286	0.40353	0	1.16214
1477010452850000	3.08299	17.5933	4.99324	3.95122	0.452931	1	2.38286
1477010452900000	2.90163	17.4768	4.95596	3.94754	0.4193	0	6.14552
1477010452950000	2.76741	17.2571	4.98805	4.01221	0.509227	1	2.97293
1477010453000000	2.59084	17.071	5.0046	4.02877	0.497009	0	0.103336
1477010453050000	2.4237	16.9069	4.94089	4.02189	0.423463	1	2.249
1477010453100000	2.25794	16.7353	4.93552	4.03265	0.409701	0	0.51792
1477010453150000	2.07885	16.5413	4.93703	4.03264	0.362509	1	4.92278
1477010453200000	1.92543	16.3109	4.97079	4.06218	0.376908	0	2.27606
1477010453250000	1.76319	16.1363	4.9362	4.0582	0.328609	1	0.896076
1477010453300000	1.55353	15.9705	4.97305	4.04018	0.28135	0	1.53159
1477010453350000	1.43408	15.7358	5.01615	4.09738	0.370248	1	2.34608
1477010453400000	1.26048	15.5184	5.05991	4.10639	0.356612	0	0.772662
1477010453450000	1.10021	15.3262	5.05295	4.10834	0.328818	1	0.895074
1477010453500000	0.885097	15.1093	5.13648	4.09591	0.288232	0	2.20019
1477010453550000	0.731875	14.9296	5.0855	4.08823	0.23914	1	2.22051
1477010453600000	0.6353	14.7148	5.0417	4.12373	0.27129	0	0.700267
1477010453650000	0.527836	14.4712	5.07806	4.17238	0.341881	1	1.98929
1477010453700000	0.35287	14.2495	5.12765	4.17039	0.315361	0	0.747986
1477010453750000	0.236733	13.9954	5.20273	4.22013	0.395726	1	3.06643
1477010453800000	0.232058	13.7444	5.11364	4.29597	0.47348	0	3.67166
1477010453850000	0.132836	13.5015	5.1502	4.32915	0.499317	1	0.834651
1477010453900000	-0.0394799	13.271	5.20869	4.31511	0.44303	0	1.55672
1477010453950000	-0.159904	13.0538	5.16339	4.31174	0.389733	1	1.2487
1477010454000000	-0.154714	12.8264	5.06822	4.37922	0.460537	0	3.24662
1477010454050000	-0.276701	12.6025	5.03021	4.3673	0.390515	1	3.70388
1477010454100000	-0.400698	12.3675	5.05799	4.3657	0.359482	0	0.394656
1477010454150000	-0.532329	12.1599	5.02895	4.34692	0.295353	1	3.71928
1477010454200000	-0.608919	11.9413	5.00181	4.36471	0.300414	0	0.535125
